Number,Station No,Dam Name,Reservoir,Latitude,Longitude,Province,WMA,Place,Catchment Area,"FSC 1,000,000m³ (million m³)",Type,actual lvl 20151130 (million m³),actual lvl 20151207 (million m³),actual lvl 20151214 (million m³),actual lvl 20151221 (million m³),actual lvl 20151228 (million m³),actual lvl 20160104 (million m³),actual lvl 20160111 (million m³),actual lvl 20160118 (million m³),actual lvl 20160125 (million m³),actual lvl 20160201 (million m³),actual lvl 20160208 (million m³),actual lvl 20160215 (million m³),actual lvl 20160229 (million m³),actual lvl 20160307 (million m³),actual lvl 20160314 (million m³),actual lvl 20160321 (million m³),20151123 (percent full),20151130 (percent full),20151207  (percent full),20151214  (percent full),20151221 (percent full),20151228 (percent full),20150104 (percent full),20160111 (percent full),20160118 (percent full),20160125 (percent full),20160201 (percent full),20160208 (percent full),20160215 (percent full),20160229 (percent full),20160307 (percent full),20160314 (percent full),20160321 (percent full),2015 week 11 (percent full)
136,G4R010,De Bos Dam ,De Bos,34.367919999999998,19.233750000000001,WCw,18,Onrus River @ De Bos Dam,33,5.735,,5.568,5.475,5.357,5.238,,,4.861,4.745,,4.513,4.416,4.328,4.166,4.091,4.042,3.965,97.8,97.1,95.5,93.4,91.3,,,84.8,82.7,,78.7,77,75.5,72.599999999999994,71.3,70.5,69.099999999999994,76.2
137,H1R001,Brandvlei Dam ,Brandvlei,33.70185,19.45007,WCw,18,Lower Brandvlei River @ Brandvlei Dam,63,286.04000000000002,,150.91,145.76,139.79,133.88999999999999,,,115.68,109.54,,98.287000000000006,92.608000000000004,86.557000000000002,75.784000000000006,70.819000000000003,65.501000000000005,60.134999999999998,54.4,52.8,51,48.9,46.8,,,40.4,38.299999999999997,,34.4,32.4,30.3,26.5,24.8,22.9,21,41.3
138,H1R002,Stettynskloof Dam ,Stettynskloof,33.836379999999998,19.251760000000001,WCw,18,Holsloot River @ Stettynskloof Dam,55,14.747,,13.576000000000001,13.173999999999999,12.574999999999999,12.093999999999999,,,10.397,9.781000000000001,,8.83,8.343,7.81,6.901,6.43,6.091,5.739,94.1,92.1,89.3,85.3,82,,,70.5,66.3,,59.9,56.6,53,46.8,43.6,41.3,38.9,43.8
196,H1R003,Ceres Dam,Ceres,,,WCw,18,,,17.25,,,,,,,,,,,,,,2.34,,2.062,2.02,,,,,,,,,,,,,14.2,13.6,,12,11.7,
140,H2R001,Roode Els Berg Dam ,Roode Elsberg,33.436149999999998,19.568449999999999,WCw,18,Sanddrifskloof River @ Roode Els Berg Dam,142,7.727,,6.786,6.586,6.128,5.85,,,4.866,4.339,,3.914,3.841,3.234,2.659,2.431,2.231,1.965,91.5,87.8,85.2,79.3,75.7,,,63,56.2,,50.7,49.7,41.9,34.4,31.5,28.9,25.4,39.4
141,H2R002,Lakenvallei Dam ,Lakenvallei,33.366610000000001,19.580719999999999,WCw,18,Sanddrifskloof River @ Lakenvallei Dam,82,10.263999999999999,,9.903,,9.805999999999999,9.75,,,9.582000000000001,9.27,,9.276999999999999,9.192,9.161,9,8.970000000000001,8.909000000000001,8.871,97,96.5,,95.5,95,,,93.4,90.3,,90.4,89.6,89.3,87.7,87.4,86.8,86.4,92.1
142,H3R001,Poortjieskloof Dam ,Poortjies Kloof,33.858220000000003,20.371359999999999,WCw,18,Groot River @ Poortjieskloof Dam,94,9.720000000000001,,9.555,,9.433,,,,8.76,8.645,,8.433999999999999,,,,7.804,7.804,,97.6,98.3,,97,,,,90.1,88.9,,86.8,,,,80.3,80.3,,73.3
143,H3R002,Pietersfontein Dam ,Pietersfontein,33.67004,20.016390000000001,WCw,18,Pietersfontein River @ Pietersfontein Dam,115,1.984,,1.959,1.942,1.933,1.914,,,1.858,1.839,,1.805,1.787,1.766,1.73,1.71,1.695,1.674,99,98.7,97.9,97.4,96.4,,,93.6,92.7,,91,90.1,89,87.2,86.1,85.4,84.4,82.1
145,H4R002,Keerom Dam ,Keerom,33.58625,19.707609999999999,WCw,18,Nuy River @ Keerom Dam,396,9.75,,9.125999999999999,,,,,,8.167999999999999,8.039,,,,,,6.784,6.784,,96.8,93.6,,,,,,83.8,82.5,,,,,,69.599999999999994,69.599999999999994,,70.099999999999994
146,H4R003,Klipberg Dam ,Klipberg,33.942120000000003,19.793530000000001,WCw,18,Konings River @ Klipberg Dam,51,1.978,,1.898,,1.83,1.788,,,1.647,1.594,,1.502,1.44,1.387,,1.278,1.192,1.123,96.5,96,,92.5,90.4,,,83.3,80.599999999999994,,75.900000000000006,72.8,70.099999999999994,,64.599999999999994,60.2,56.7,43.9
147,H4R004,Kwaggaskloof Dam ,Kwaggaskloof,33.761870000000002,19.472159999999999,WCw,18,Doorn River @ Kwaggaskloof Dam,53,169.41,,87.417000000000002,84.694000000000003,81.418000000000006,78.331999999999994,,,68.578000000000003,65.408000000000001,,59.600999999999999,56.662999999999997,53.996000000000002,48.784999999999997,46.241999999999997,44.192,41.767000000000003,53.2,51.6,50,48.1,46.2,,,40.5,38.6,,35.200000000000003,33.4,31.9,28.8,27.3,26.1,24.7,41.5
